the_geom,name,OBJECTID,FOLIO,ID,ZIPCODE,PHONE,CONTACT,TOTACRE,POINT_X,POINT_Y,CLASS,TYPE,MNGTAGCY,MUNICIPAL_,PROPNUM,PARKURL,AMPHITHEAT,AUDITORIUM,ARCHERY,BASEBALL,BASKETBALL,BEACH,BMXTRACK,BOATRAMP,CAMPGROUND,RVCAMPGROU,DOGPARK,EQUESTRIAN,FOOTBALL,FRISBEEGOL,GOLF,GOLFDRIVIN,GUNRANGE,GYMNASIUM,MARINA,MOUNTAINBI,NATURECENT,NATURETRAI,RAQUETBALL,REC_CENTER,ROLLERHOCK,SHELTER,SKATING,SOCCER,STADIUM,SWIMMING,TENNIS,TOTLOT,TRACK400,TRAIL,VOLLEYBALL,WETPLAYGRO,WIFI,ZOO,GlobalID,created_user,created_date,last_edited_user,last_edited_date,FACILITYPLAN,ART,BIKETRAIL,CANOE_LAUNCH,FITNESSZONE,PLAYGROUND,RESTROOM,Location 1,ADDRESS,CITY,lat,lon,park_size
POINT (-80.24756269761683 25.81458469582755),Glenwood Park,172,3031210330930,181,33142,305-633-4066,NA,0.55,903697.999365,539007.999454,Mini Park,Local,MiamiDadePark,County,312101,http://www.miamidade.gov/parks/glenwood.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,{A0B10E22-1091-4BED-A13C-769D35F9BF3A},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:42 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Glenwood Park.pdf,No,No,No,No,No,No,"(25.81458, -80.24756)",3155 NW 43RD ST,MIAMI,25.81458,-80.247559999999993,Small Park
POINT (-80.17356267981853 25.965604735761527),Ives Estates Tennis Center,173,3012320000181,182,33179,305-945-3425,NA,5,927695.9996,594045.999942,Single Purpose Park,Local,MiamiDadePark,County,123201,http://www.miamidade.gov/parks/parks/ives_estates_tennis.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,{F0F7A1FB-1349-46E2-AA53-0605C9780A6D},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:43 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Ives Estates Tennis Center.pdf,No,No,No,No,No,No,"(25.9656, -80.17356)",1475 IVES DAIRY RD,MIAMI,25.9656,-80.17356,Medium Park
POINT (-80.34541272030718 25.606904640775685),Palmetto Bay Park,179,3350330000660,188,33157,305-969-5011,305-251-2751,17,871880.246071,463352.58941,Community Park,Local,PalmettoBayPark,Municipal,503303,http://www.palmettobay-fl.gov/node/89,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,{62C80EED-4B50-4303-B56C-853D49F1B1C5},PalmettoBayPark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:46 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Not Available.pdf,No,No,No,Yes,No,No,"(25.6069, -80.34541)",17535 SW 95TH AVE,Palmetto Bay,25.6069,-80.34541,Very Large Park
POINT (-80.26274270237572 25.823704697865107),Cuban Culture in exile Heritage Park,184,431170000131,193,33010,NA,Kenneth Soler,1,898684.639969,542292.51158,Mini Park,Local,HialeahPark,Municipal,311954,http://www.hialeahfl.gov/index.php?option=com_content&view=article&id=244&I,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,{660599A7-E82C-40A7-8C35-3C4E2B731B40},HialeahPark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:41 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Not Available.pdf,No,No,No,No,No,No,"(25.8237, -80.26274)",HIALEAH DR / E 9TH AVE,Hialeah,25.8237,-80.26274,Small Park
POINT (-80.33413272440482 25.890624712058578),Carl F. Slade Park,189,420270010340,198,33016,305-818-2991,William Sanchez,18,875075.686859,566492.18727,Neighborhood Park,Local,HialeahPark,Municipal,202750,http://www.hialeahfl.gov/index.php?option=com_content&view=article&id=244&I,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,{2EEF1CB5-95DD-4745-B643-A383A0EB2F69},HialeahPark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:41 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Not Available.pdf,No,No,No,No,No,No,"(25.89062, -80.33413)",2501 W 74TH ST,Hialeah,25.89062,-80.33413,Very Large Park
POINT (-80.34130272486308 25.80259468998457),Doral Central Park,206,3530280200010,215,33172,NA,305-593-6600,80,872879.54427,534483.978646,Community/Neighborhood,Local,DoralPark,Municipal,302801,http://www.cityofdoral.com/parks,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,{97AD84B1-87F9-40AF-A034-AB5CC851EC6B},DoralPark,03/24/2014 06:00:30 PM,DoralPark,02/24/2017 07:31:45 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Not Available.pdf,No,No,No,Yes,No,No,"(25.80259, -80.3413)",3000 NW 87TH AVE,Doral,25.80259,-80.3413,Very Large Park
POINT (-80.2932427116356 25.850494703011094),Filer Jr. High Park,207,430120230010,216,33012,NA,Kenneth Soler,3.22,888600.09977,551974.68251,Neighborhood Park,Local,HialeahPark,Municipal,301250,http://www.hialeahfl.gov/index.php?option=com_content&view=article&id=244&I,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{42894DDD-2256-4E07-9000-C1A3B6D21011},HialeahPark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:42 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Not Available.pdf,No,No,No,No,No,No,"(25.85049, -80.29324)",W 5TH AVE /  W 32ND PL,Hialeah,25.85049,-80.29324,Medium Park
POINT (-80.1212626642641 25.92991472767257),Pier Park,213,3122140000050,222,33160,NA,305-792-1706,0,944966.315778,581186.240884,Special Tax,Area-Wide,SunnyIslesBeachPark,Municipal,221450,http://www.sibfl.net/ccs/parks/parks_pier/,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,{E6ADE5DF-53D2-4909-8A86-1DA3ED4B080F},SunnyIslesBeachPark,03/24/2014 06:00:30 PM,SunnyIslesBeachPark,02/18/2017 05:28:57 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Not Available.pdf,No,No,No,No,No,No,"(25.92991, -80.12126)",16501 Collins Avenue,Sunny Isles Beach,25.92991,-80.12126,Small Park
POINT (-80.3182327199457 25.871584708788912),Victor Wild Park & Adult Center,217,420350010330,226,33012,NA,William Sanchez,8,880341.329871,559597.912998,Neighborhood Park,Local,HialeahPark,Municipal,203550,http://www.hialeahfl.gov/index.php?lang=en#,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,{2060A5F8-1354-43EC-9264-120F044F7185},HialeahPark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:48 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Not Available.pdf,No,No,No,No,No,No,"(25.87158, -80.31823)",5405 W 18TH AVE,Hialeah,25.87158,-80.31823,Large Park
POINT (-80.31465271165462 25.60173463982811),Old Cutler Bike Rest Stop,221,3350350130050,230,33157,305-257-0933,NA,0.01,882026.00006,461523.999566,Greenway Park,Area-Wide,MiamiDadePark,County,503501,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,{4BFEFE20-7AFA-41CA-900C-088C1DB3AB55},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:46 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Old Cutler Bike Rest Stop.pdf,No,No,No,No,No,No,"(25.60173, -80.31465)",OLD CUTLER RD / SW 77TH AVE,PALMETTO BAY,25.60173,-80.31465,Small Park
POINT (-80.35631272794603 25.770804682928176),Ruben Dario Park,222,3040050110021,231,33172,305-222-2194,NA,15.29,867997.999899,522904.999835,Community Park,Local,MiamiDadePark,County,400501,http://www.miamidade.gov/parks/ruben-dario.asp,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,{912BBCA1-0709-43A8-AC01-3AF909852848},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:47 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Ruben Dario Park.pdf,No,No,No,No,No,No,"(25.7708, -80.35631)",9825 W FLAGLER ST,MIAMI,25.7708,-80.35631,Very Large Park
POINT (-80.36202272711573 25.6827946587955),Kendale Park,223,3050050041650,232,33176,305-666-5883,NA,4,866272.00007,490906.999855,Neighborhood Park,Local,MiamiDadePark,County,500503,http://www.miamidade.gov/parks/parks/kendale.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,{338EA434-6798-4CFE-B613-E2BA78883FED},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:43 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Kendale Park.pdf,No,No,No,No,No,No,"(25.68279, -80.36202)",9250 KENDALE BLVD,MIAMI,25.68279,-80.36202,Medium Park
POINT (-80.37208273091218 25.6939046620352),Kendall Indian Hammocks Park,224,3040310040010,233,33173,305-596-9324,NA,105,862941.00017,494930.999681,Community Park,Local,MiamiDadePark,County,403101,http://www.miamidade.gov/parks/kendall-indian-hammocks.asp,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,{78714E4E-BCA7-46C0-AD24-41D6AE8EFD35},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:43 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Kendall Indian Hammocks Park.pdf,No,No,No,Yes,No,No,"(25.6939, -80.37208)",11395 SW 79TH ST,MIAMI,25.6939,-80.37208,Very Large Park
POINT (-80.39920273818572 25.69261466205411),Kendall Soccer Park,225,3049350000021,234,33183,305-275-1152,NA,0,854012.00064,494421.00004,Single Purpose Park,Local,MiamiDadePark,County,493501,http://www.miamidade.gov/parks/parks/kendall_soccer.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,{AEDF740D-92D0-4D57-87D6-C2A71DB110DA},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:43 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Kendall Soccer Park.pdf,No,No,No,No,No,No,"(25.69261, -80.3992)",8011 SW 127TH AVE,MIAMI,25.69261,-80.3992,Small Park
POINT (-80.3450527222537 25.693654662904592),Kendalwood Park,226,3040330011070,235,33173,305-666-5883,NA,2.68,871844.000737,494883.0001,Neighborhood Park,Local,MiamiDadePark,County,403306,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{8F7DE87A-222D-41E1-88E8-1A909622277F},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:43 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Kendalwood Park.pdf,No,No,No,No,No,No,"(25.69365, -80.34505)",8140 SW 93RD CT,MIAMI,25.69365,-80.34505,Medium Park
POINT (-80.3950827328144 25.524114618203026),Kevin Broils Park,227,3069260041300,236,33032,305-233-3150,NA,5.24,855649.000647,433185.999812,Neighborhood Park,Local,MiamiDadePark,County,692501,http://www.miamidade.gov/parks/kevin-broils.asp,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,{342C9034-CB60-4BCA-B861-249D955828C1},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:43 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Kevin Broils Park.pdf,No,No,No,No,No,No,"(25.52411, -80.39508)",26150 SW 125TH AVE,MIAMI,25.52411,-80.39508,Large Park
POINT (-80.43962274880502 25.61877464141686),Kings Grant Park,228,3059280013e3,237,33187,305-232-1049,NA,6.5,840817.000127,467523.00003,Neighborhood Park,Local,MiamiDadePark,County,592800,http://www.miamidade.gov/parks/kings-grant.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,{905BC8B2-5435-48CA-95FF-CC6B62800B17},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:43 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Kings Grant Park.pdf,No,No,No,No,No,No,"(25.61877, -80.43962)",15211 SW 160TH ST,MIAMI,25.61877,-80.43962,Large Park
POINT (-80.42232274512844 25.675794656084683),Kings Meadow Park,229,3059030122870,238,33186,305-386-0227,NA,5.79,846424.000068,488273.000202,Neighborhood Park,Local,MiamiDadePark,County,590300,http://www.miamidade.gov/parks/kings-meadow.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,{22E16EFD-C9E6-453D-80A6-1F91A904C06E},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:43 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Kings Meadow Park.pdf,No,No,No,No,No,No,"(25.67579, -80.42232)",10036 SW 142ND AVE,MIAMI,25.67579,-80.42232,Large Park
POINT (-80.45339276058891 25.926734720097862),Krome Ave Launching Area (Thompson),230,NA,239,33178,305-622-2594,NA,0,835814.999304,579436.00029,Special Activity Park,Area-Wide,MiamiDadePark,County,291602,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{A8F7AFBC-58F4-48F6-98F3-6C4854D91BF7},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:43 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Krome Ave Launching Area (Thompson).pdf,No,No,No,No,No,No,"(25.92673, -80.45339)",16665 N KROME AVE,MIAMI,25.92673,-80.45339,Small Park
POINT (-80.45313275400972 25.690244659406655),Lago Mar Park,231,3049320320010,240,33193,305-385-4750,NA,11.84,836256.00039,493481.999955,Neighborhood Park,Local,MiamiDadePark,County,493201,http://www.miamidade.gov/parks/lago-mar.asp,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,{0BF21C5F-5D36-4D5E-B390-C9A18CE22359},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:43 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Lago Mar Park.pdf,No,No,No,No,No,No,"(25.69024, -80.45313)",8165 SW 162 AVE,MIAMI,25.69024,-80.45313,Large Park
POINT (-80.28658271261193 25.94048472725642),Lake Stevens Park,232,3021060290830,241,33055,305-622-2594,NA,11.84,890611.000276,584694.999943,Neighborhood Park,Local,MiamiDadePark,County,210601,http://www.miamidade.gov/parks/lake-stevens.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{F3E5F4A1-3F0F-4978-874D-30180B318F9C},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:43 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Lake Stevens Park.pdf,No,No,No,No,No,No,"(25.94048, -80.28658)",5350 NW 183RD ST,MIAMI,25.94048,-80.28658,Large Park
POINT (-80.20327268636305 25.85341470536868),Larchmont Park,233,3031120030020,242,33150,305-633-4066,NA,4.43,918180.999926,553208.000581,Neighborhood Park,Local,MiamiDadePark,County,311201,http://www.miamidade.gov/parks/larchmont.asp,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,{E8F3BE52-F862-4189-82D9-1177FE98F8B7},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:44 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Larchmont Park.pdf,No,No,No,No,No,No,"(25.85341, -80.20327)",406 NW 85TH ST,MIAMI,25.85341,-80.20327,Medium Park
POINT (-80.40841273899234 25.604524638123653),Larry & Penny Thompson Park,234,3059360000030,243,33177,305-232-1049,NA,403.39,851124.00051,462390.9998,Metropolitan Park,Area-Wide,MiamiDadePark,County,593602,http://www.miamidade.gov/parks/larry-penny.asp,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,{49443B30-5F84-4910-A40B-BA2DFA359475},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:44 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Larry & Penny Thompson Park.pdf,No,No,No,No,No,No,"(25.60452, -80.40841)",12451 SW 184TH ST,MIAMI,25.60452,-80.40841,Very Large Park
POINT (-80.43408274322644 25.493954610783735),Leisure Lakes Park,235,3079040053221,244,33033,305-248-1527,NA,8.68,842833.9997,422168.000194,Community Park,Local,MiamiDadePark,County,790402,http://www.miamidade.gov/parks/leisure-lakes.asp,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,{7F3DCDBC-C587-4F2B-B3DA-71C259D73158},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:44 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Leisure Lakes Park.pdf,No,No,No,No,No,No,"(25.49395, -80.43408)",29305 ILLINOIS RD,MIAMI,25.49395,-80.43408,Large Park
POINT (-80.43983274437572 25.49508460989752),Leisure Park,236,3079040041650,245,33033,305-242-7938,NA,1.9,840934.999563,422570.000047,Neighborhood Park,Local,MiamiDadePark,County,790401,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,{EA0C878C-19E9-4587-9D7E-7F967CFD065E},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:44 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Leisure Park.pdf,No,No,No,No,No,No,"(25.49508, -80.43983)",15355 HARDING LN,MIAMI,25.49508,-80.43983,Medium Park
POINT (-80.32502271417415 25.56694463151234),Lakes by the Bay Park,237,60090220040,246,33189,305-233-3150,NA,96.4,878673.000859,448861.999956,District Park,Area-Wide,MiamiDadePark,County,601501,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{FDB3C087-97AC-471D-A6E9-06D21D2F66BB},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:44 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Lakes by the Bay Park.pdf,No,No,No,No,No,No,"(25.56694, -80.32502)",SW 216TH ST / SW 85TH AVE,CUTLER BAY,25.56694,-80.32502,Very Large Park
POINT (-80.24626269706016 25.819564696605013),"Jefferson Reaves, Sr. Park",258,3031210000360,266,33142,305-635-2081,NA,1.67,904113.999517,540821.000093,Community Park,Local,MiamiDadePark,County,312105,http://www.miamidade.gov/parks/jeff-reaves.asp,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,{DD394093-37CD-4936-B068-A73B493EE63C},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:43 PM,"http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Jefferson Reaves, Sr. Park.pdf",No,No,No,No,No,No,"(25.81956, -80.24626)",3100 NW 50TH ST,MIAMI,25.81956,-80.24626,Medium Park
POINT (-80.23379269391778 25.825074698788253),Joseph Caleb Community Center,259,3031150000330,267,33142,305-636-2351,NA,9.6,908205.999863,542847.999976,Special Activity Park,Area-Wide,MiamiDadePark,County,311506,http://www.miamidade.gov/parks/,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{4ED9DF60-E1C3-4FDA-AF95-524A5848AB4E},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:43 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Joseph Caleb Community Center.pdf,No,No,No,No,No,No,"(25.82507, -80.23379)",5400 NW 22ND AVE,MIAMI,25.82507,-80.23379,Large Park
POINT (-80.34717272386634 25.689654662107007),Boys & Girls Club of Miami- Kendall Unit,260,3040330011360,268,33173,305-279-3013,NA,22.7,871150.999498,493425.0004,Community Park,Local,MiamiDadePark,County,403301,http://www.miamidade.gov/parks/,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,{F730256A-E27D-4A1A-8A94-A6F89113847A},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:40 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Boys & Girls Club of Miami- Kendall Unit.pdf,No,No,No,No,No,No,"(25.68965, -80.34717)",9475 SW 88TH ST,MIAMI,25.68965,-80.34717,Very Large Park
POINT (-80.44568275766055 25.920474718556278),M E Thompson Park,261,3029160000010,269,33178,305-622-2594,NA,0,838358.001108,577171.000227,Special Activity Park,Area-Wide,MiamiDadePark,County,291601,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,{A36539A6-813C-4CB0-96C5-99A23715FAAD},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:44 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/M E Thompson Park.pdf,No,No,No,No,No,No,"(25.92047, -80.44568)",16665 NW 177TH AVE,MIAMI,25.92047,-80.44568,Small Park
POINT (-80.34025271736515 25.514974616971696),Mangrove Preserve,262,3060330000010,270,33032,305-257-0933,NA,243.31,873745.999558,429950.000378,Natural Area Preserve,Area-Wide,MiamiDadePark,County,603301,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{E1383E06-A1A9-4236-BAC4-2309D73A7DDF},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:44 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Mangrove Preserve.pdf,No,No,No,No,No,No,"(25.51497, -80.34025)",26751 SW 97TH AVE,MIAMI,25.51497,-80.34025,Very Large Park
POINT (-80.327572721347 25.828714697270737),Manufacturers Industrial Park,263,3030150070240,271,33166,305-233-3150,NA,0.37,877350.00088,544001.000294,Greenway - Right of Way,Area-Wide,MiamiDadePark,County,301500,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{CE80D419-0EF9-4432-A684-21664D2A1FF1},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:44 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Manufacturers Industrial Park.pdf,No,No,No,No,No,No,"(25.82871, -80.32757)",7999 NW 60TH ST,MIAMI,25.82871,-80.32757,Small Park
POINT (-80.3743027302873 25.650654651506727),Pine Shore Pineland Preserve,264,3050180022540,272,33176,305-386-0227,NA,7.82,862285.99984,479206.000948,Natural Area Preserve,Area-Wide,MiamiDadePark,County,501802,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,{4D1975C7-12D8-4751-9360-9A7BEBF4F839},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:46 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Pine Shore Pineland Preserve.pdf,No,No,No,No,No,No,"(25.65065, -80.3743)",11151 SW 128TH ST,MIAMI,25.65065,-80.3743,Large Park
POINT (-80.35709272522575 25.647094650766224),Pinewoods Park,265,3050170310190,273,33176,305-386-0227,NA,1.2,867960.99964,477942.000523,Greenway Park,Area-Wide,MiamiDadePark,County,501700,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{DB9FE29E-65AB-4908-915C-2789E3CCAEE2},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:46 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Pinewoods Park.pdf,No,No,No,No,No,No,"(25.64709, -80.35709)",13181 SW 102ND AVE,MIAMI,25.64709,-80.35709,Medium Park
POINT (-80.3770127310055 25.635434647294485),Sgt. Joseph Delancy Park,266,3050190010010,274,33176,305-235-4503,NA,10.28,861419.00059,473670.999878,Community Park,Local,MiamiDadePark,County,501901,http://www.miamidade.gov/parks/sgt-joseph-delancy.asp,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,{79ADBB5B-DC14-4824-9285-AD92398B08B5},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:47 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Sgt. Joseph Delancy Park.pdf,No,No,No,No,No,No,"(25.63543, -80.37701)",14450 BOGGS DR,MIAMI,25.63543,-80.37701,Large Park
